horizon,gauss_window,gauss_std,coord_mode,orb_multiplier,include_phases,max_depth,learning_rate,weight_power,sideways_penalty,n_estimators,subsample,colsample_bytree,bal_acc,f1_macro,mcc,recall_down,recall_up,recall_min,recall_gap,up_down_min,up_down_gap
1,201,100.0,geo,0.15,True,9,0.01,2.0,0.3,500,0.8,0.8,0.37857882875666204,0.37371176831690317,0.07963233774805697,0.3786407766990291,0.13333333333333333,0.13333333333333333,0.2453074433656958,0.13333333333333333,0.2453074433656958
1,201,100.0,geo,0.15,True,9,0.03,2.0,0.5,500,0.8,0.8,0.348587480107234,0.3475516029863856,0.022500796066007103,0.4223300970873786,0.13333333333333333,0.13333333333333333,0.28899676375404526,0.13333333333333333,0.28899676375404526
1,101,50.0,both,0.15,True,9,0.03,2.0,0.5,500,0.8,0.8,0.33947508608144195,0.32143836047569124,0.00849383534325905,0.6517412935323383,0.1276595744680851,0.1276595744680851,0.5240817190642533,0.1276595744680851,0.5240817190642533
1,201,100.0,geo,0.15,True,5,0.03,2.0,1.0,500,0.8,0.8,0.3723242227135335,0.24606772065308513,0.06410018840184648,0.1262135922330097,0.7333333333333333,0.1262135922330097,0.6071197411003235,0.1262135922330097,0.6071197411003235
1,101,50.0,both,0.15,True,9,0.03,2.0,1.0,500,0.8,0.8,0.31290029699280797,0.18106818678915135,-0.008434993182612113,0.12437810945273632,0.7021276595744681,0.12437810945273632,0.5777495501217318,0.12437810945273632,0.5777495501217318
1,101,100.0,both,0.15,True,9,0.05,2.0,0.5,500,0.8,0.8,0.3306721095105526,0.32952760511291546,-0.00022098742177249948,0.3768844221105528,0.12244897959183673,0.12244897959183673,0.2544354425187161,0.12244897959183673,0.2544354425187161
1,101,100.0,geo,0.15,True,5,0.01,2.0,0.5,500,0.8,0.8,0.3404690617514318,0.33664795230012623,0.025206951208090998,0.5477386934673367,0.12244897959183673,0.12244897959183673,0.42528971387549996,0.12244897959183673,0.42528971387549996
1,201,100.0,geo,0.15,True,5,0.01,2.0,1.0,500,0.8,0.8,0.34122315144135773,0.26896953744852764,0.012058710466524146,0.12135922330097088,0.4666666666666667,0.12135922330097088,0.3453074433656958,0.12135922330097088,0.3453074433656958
1,101,50.0,geo,0.15,True,5,0.05,2.0,1.0,500,0.8,0.8,0.37510630552478913,0.2659101955689882,0.03298973130134796,0.11940298507462686,0.6595744680851063,0.11940298507462686,0.5401714830104795,0.11940298507462686,0.5401714830104795
1,201,100.0,geo,0.15,True,9,0.03,2.0,0.3,500,0.8,0.8,0.3681915117078051,0.35810508693265913,0.07421876507835437,0.3300970873786408,0.1111111111111111,0.1111111111111111,0.2189859762675297,0.1111111111111111,0.2189859762675297
1,201,100.0,geo,0.15,True,9,0.03,2.0,1.0,500,0.8,0.8,0.3673552144858499,0.172019625442671,0.046359499120597975,0.10679611650485436,0.9111111111111111,0.10679611650485436,0.8043149946062568,0.10679611650485436,0.8043149946062568
1,201,100.0,both,0.15,True,9,0.01,2.0,1.0,500,0.8,0.8,0.37065554451885324,0.17726837702053702,0.044443186221536715,0.10679611650485436,0.9111111111111111,0.10679611650485436,0.8043149946062568,0.10679611650485436,0.8043149946062568
1,101,50.0,geo,0.15,True,9,0.05,2.0,0.3,500,0.8,0.8,0.34240594295431687,0.34250584869779915,0.025706617550466236,0.4427860696517413,0.10638297872340426,0.10638297872340426,0.33640309092833703,0.10638297872340426,0.33640309092833703
1,101,50.0,both,0.15,True,9,0.05,2.0,0.3,500,0.8,0.8,0.3441937518771822,0.3447607560847979,0.036134205455097455,0.46766169154228854,0.10638297872340426,0.10638297872340426,0.3612787128188843,0.10638297872340426,0.3612787128188843
1,101,100.0,both,0.15,True,5,0.01,2.0,1.0,500,0.8,0.8,0.34179608845621834,0.2886706836772478,0.01580234501787853,0.10552763819095477,0.2857142857142857,0.10552763819095477,0.1801866475233309,0.10552763819095477,0.1801866475233309
1,101,50.0,geo,0.15,True,9,0.03,2.0,1.0,500,0.8,0.8,0.37705039927503115,0.21471409334252964,0.06961345196496903,0.1044776119402985,0.851063829787234,0.1044776119402985,0.7465862178469356,0.1044776119402985,0.7465862178469356
1,101,100.0,geo,0.15,True,5,0.05,2.0,1.0,500,0.8,0.8,0.3822979173284708,0.2816388261293628,0.07265742619236534,0.10050251256281408,0.6122448979591837,0.10050251256281408,0.5117423853963696,0.10050251256281408,0.5117423853963696
1,101,100.0,geo,0.15,True,5,0.03,2.0,1.0,500,0.8,0.8,0.3783995470966914,0.28233280002077216,0.05426218745865312,0.09547738693467336,0.5714285714285714,0.09547738693467336,0.47595118449389806,0.09547738693467336,0.47595118449389806
1,101,100.0,geo,0.15,True,9,0.03,2.0,1.0,500,0.8,0.8,0.3917395172310865,0.24279494484456485,0.056060688853257976,0.09547738693467336,0.8163265306122449,0.09547738693467336,0.7208491436775716,0.09547738693467336,0.7208491436775716
1,101,50.0,geo,0.15,True,9,0.01,2.0,1.0,500,0.8,0.8,0.3573027441928913,0.2077597600373321,0.03035558148471359,0.08955223880597014,0.7872340425531915,0.08955223880597014,0.6976818037472213,0.08955223880597014,0.6976818037472213
1,201,100.0,geo,0.15,True,5,0.03,2.0,0.5,500,0.8,0.8,0.35538502070271755,0.35284691758879766,0.03332603914318549,0.39805825242718446,0.08888888888888889,0.08888888888888889,0.30916936353829555,0.08888888888888889,0.30916936353829555
1,201,100.0,geo,0.15,True,5,0.05,2.0,1.0,500,0.8,0.8,0.34298759973084686,0.23714952218829655,0.015451384574117741,0.08737864077669903,0.6,0.08737864077669903,0.512621359223301,0.08737864077669903,0.512621359223301
1,101,100.0,geo,0.15,True,9,0.01,2.0,1.0,500,0.8,0.8,0.38497148093212036,0.26250311349532324,0.05070567334715252,0.08542713567839195,0.6938775510204082,0.08542713567839195,0.6084504153420162,0.08542713567839195,0.6084504153420162
1,201,50.0,geo,0.15,True,5,0.03,2.0,1.0,500,0.8,0.8,0.3197536810331279,0.21630518952766656,-0.03418976059835817,0.08415841584158416,0.6041666666666666,0.08415841584158416,0.5200082508250825,0.08415841584158416,0.5200082508250825
1,201,50.0,geo,0.15,True,9,0.05,2.0,0.3,500,0.8,0.8,0.3486982934746677,0.3479724778579343,0.020687623656966785,0.4405940594059406,0.08333333333333333,0.08333333333333333,0.3572607260726073,0.08333333333333333,0.3572607260726073
1,201,50.0,geo,0.15,True,3,0.01,2.0,1.0,500,0.8,0.8,0.34255285134424773,0.322856764348844,0.021048282838912618,0.698019801980198,0.08333333333333333,0.08333333333333333,0.6146864686468646,0.08333333333333333,0.6146864686468646
1,201,50.0,helio,0.15,True,9,0.05,2.0,0.5,500,0.8,0.8,0.347649666444477,0.3060558864534509,0.05575056678299905,0.801980198019802,0.08333333333333333,0.08333333333333333,0.7186468646864687,0.08333333333333333,0.7186468646864687
1,101,100.0,geo,0.15,True,9,0.01,2.0,0.3,500,0.8,0.8,0.3264305599675831,0.3217518200569048,-0.010924967802153561,0.33668341708542715,0.08163265306122448,0.08163265306122448,0.2550507640242027,0.08163265306122448,0.2550507640242027
1,101,100.0,both,0.15,True,9,0.05,2.0,0.3,500,0.8,0.8,0.33918539103348166,0.33885117324054476,0.025017872307932346,0.47738693467336685,0.08163265306122448,0.08163265306122448,0.3957542816121424,0.08163265306122448,0.3957542816121424
1,101,100.0,geo,0.15,True,5,0.01,2.0,1.0,500,0.8,0.8,0.3765284027571072,0.27194703353998934,0.04266704384290268,0.07035175879396985,0.5714285714285714,0.07035175879396985,0.5010768126346016,0.07035175879396985,0.5010768126346016
1,201,50.0,geo,0.15,True,9,0.03,2.0,1.0,500,0.8,0.8,0.3563330163065568,0.19669117589702068,0.028291815978640354,0.06930693069306931,0.8125,0.06930693069306931,0.7431930693069306,0.06930693069306931,0.7431930693069306
1,201,50.0,geo,0.15,True,5,0.05,2.0,1.0,500,0.8,0.8,0.3679559766321459,0.23284248190299325,0.041352357583874545,0.06435643564356436,0.7291666666666666,0.06435643564356436,0.6648102310231023,0.06435643564356436,0.6648102310231023
1,101,100.0,both,0.15,True,5,0.03,2.0,1.0,500,0.8,0.8,0.3452042025291548,0.27286601056579274,0.014448223867975835,0.06030150753768844,0.32653061224489793,0.06030150753768844,0.2662291047072095,0.06030150753768844,0.2662291047072095
1,201,50.0,geo,0.15,True,9,0.01,2.0,1.0,500,0.8,0.8,0.36072973060852886,0.17914022096968543,0.03931329534491569,0.0594059405940594,0.875,0.0594059405940594,0.8155940594059405,0.0594059405940594,0.8155940594059405
1,201,50.0,geo,0.15,True,9,0.05,2.0,1.0,500,0.8,0.8,0.37335288331788846,0.1712571137362943,0.040837589515774715,0.0594059405940594,0.9375,0.0594059405940594,0.8780940594059405,0.0594059405940594,0.8780940594059405
